"SalePrice","MSSubClass","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageCars","MoSold","YrSold","Remodeled","PorchNum","Pool","SaleTC","GarageFinish2","TotalSF","PcntBsmtUF","Bsmt","SecondFloor","Functional2","Garage","BsmtExp","LFln","LAln"
208500,"60","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,2,1,3,1,"Gd",8,0,"Attchd",2,2,2008,"no",1,"no","1",2,2566,0.175233644859813,"yes","yes","yes",2,1,4.17438726989564,9.04192172035122
181500,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","ALQ","Unf","GasA","Ex","Y",0,1,2,0,3,1,"TA",6,1,"Attchd",2,5,2007,"no",1,"no","1",2,2524,0.225039619651347,"yes","no","yes",2,2,4.38202663467388,9.16951837745593
223500,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Mn","GLQ","Unf","GasA","Ex","Y",1,0,2,1,3,1,"Gd",6,1,"Attchd",2,9,2008,"yes",1,"no","1",2,2706,0.471739130434783,"yes","yes","yes",2,1,4.21950770517611,9.32812340763257
140000,"70","RL","Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","No","ALQ","Unf","GasA","Gd","Y",1,0,1,0,3,1,"Gd",7,1,"Detchd",3,2,2006,"yes",2,"no","0",1,2473,0.714285714285714,"yes","yes","yes",1,1,4.0943445622221,9.16429643347478
250000,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Av","GLQ","Unf","GasA","Ex","Y",1,0,2,1,4,1,"Gd",9,1,"Attchd",3,12,2008,"no",2,"no","1",2,3343,0.427947598253275,"yes","yes","yes",2,2,4.43081679884331,9.56521369396829
143000,"50","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","No","GLQ","Unf","GasA","Ex","Y",1,0,1,1,1,1,"TA",5,0,"Attchd",2,10,2009,"yes",3,"no","1",1,2158,0.0804020100502513,"yes","yes","yes",2,1,4.44265125649032,9.55499334068759
307000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Av","GLQ","Unf","GasA","Ex","Y",1,0,2,0,3,1,"Gd",7,1,"Attchd",2,8,2007,"yes",2,"no","1",2,3380,0.188018979833926,"yes","no","yes",2,2,4.31748811353631,9.21870528830781
200000,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Mn","ALQ","BLQ","GasA","Ex","Y",1,0,2,1,3,1,"TA",7,2,"Attchd",2,11,2009,"no",3,"no","1",2,3197,0.195121951219512,"yes","yes","yes",2,1,4.23410650459726,9.24782881638717
129900,"50","RM","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","No","Unf","Unf","GasA","Gd","Y",0,0,2,0,2,2,"TA",8,2,"Detchd",2,4,2008,"yes",2,"no","0",1,2726,1,"yes","yes","yes",1,1,3.93182563272433,8.71931737550637
118000,"190","RL","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","No","GLQ","Unf","GasA","Ex","Y",1,0,1,0,2,2,"TA",5,2,"Attchd",1,1,2008,"yes",1,"no","1",2,2068,0.141271442986882,"yes","no","yes",2,1,3.91202300542815,8.91193433616143
